metric,effect,contrast,seeds,mean_paired_difference,ci_95_low,ci_95_high,p_value
eval_mean_final_energy,Target effect with replay,A - B,5,1.240790548957331,-1.607963006945637,4.089544104860299,0.29313557013708436
eval_mean_final_energy,Target effect without replay,C - D,5,0.04988756620793113,-0.24000587731065795,0.3397810097265202,0.6577332349452953
eval_mean_final_energy,Replay effect with target,A - C,5,6.0324447195814646,5.2310723314995595,6.83381710766337,3.0971316798965816e-05
eval_mean_final_energy,Replay effect without target,B - D,5,4.841541736832065,2.306086332749086,7.376997140915044,0.006080101802351667
eval_survival_rate,Target effect with replay,A - B,5,-0.044399999999999995,-0.19783872591661966,0.10903872591661967,0.46676517872551926
eval_survival_rate,Target effect without replay,C - D,5,0.007199999999999984,-0.00806792382895027,0.02246792382895024,0.26057454736802677
eval_survival_rate,Replay effect with target,A - C,5,-0.2076,-0.2288466089774974,-0.18635339102250262,1.0977922312656031e-05
eval_survival_rate,Replay effect without target,B - D,5,-0.15600000000000003,-0.3048340325072437,-0.007165967492756303,0.04367275131047389
