cell_type,mean_energy_delta,energy_delta_std,probability_negative,mean_food,mean_effort,mean_injury
Big animal,5.996005782365169,31.12669186345641,0.5484,27.090935118441237,15.017596236009043,6.077333100067027
Obstacle,-9.947260114416418,8.70692315736547,1.0,0.0,4.9870052439833685,4.960254870433048
Small animal,0.7173627836438992,4.664423223922039,0.3626,6.304353733784938,4.995921599888771,0.5910693502522675
Vegetation,1.6294825210675234,1.882517805987189,0.1508,4.7666995454711225,2.9975730741288302,0.13964395027476864
