run_id,seed,episode,objective_return,final_energy,survived,steps,mean_td_loss,mean_gradient_norm,max_gradient_norm,weight_norm,mean_abs_q,max_abs_q,mean_abs_td_error,target_distance,epsilon
B,404,1,44.080791453642874,44.080791453642874,1,6,,,,,,,,,0.99981
B,404,2,49.684068346455994,49.684068346455994,1,6,,,,,,,,,0.99962
B,404,3,-59.176811996445906,-59.176811996445906,0,6,,,,,,,,,0.99943
B,404,4,-0.23282554607620032,-0.23282554607620032,0,6,,,,,,,,,0.99924
B,404,5,-1.2305094387995772,-1.2305094387995772,0,6,,,,,,,,,0.99905
B,404,6,0.12422514854204358,0.12422514854204358,1,6,,,,,,,,,0.99886
B,404,7,1.259424750014139,1.259424750014139,1,6,,,,,,,,,0.99867
B,404,8,8.936593871826092,8.936593871826092,1,6,,,,,,,,,0.99848
B,404,9,-25.674351328942436,-25.674351328942436,0,6,,,,,,,,,0.99829
B,404,10,-20.58014471013785,-20.58014471013785,0,6,,,,,,,,,0.9981
B,404,11,1.7711522430840159,1.7711522430840159,1,6,,,,,,,,,0.99791
B,404,12,-38.53595180245675,-38.53595180245675,0,6,,,,,,,,,0.99772
B,404,13,-59.788070514957965,-59.788070514957965,0,6,,,,,,,,,0.99753
B,404,14,-28.290480278593435,-28.290480278593435,0,6,,,,,,,,,0.99734
B,404,15,-22.556143060873968,-22.556143060873968,0,6,,,,,,,,,0.99715
B,404,16,-40.35085435317981,-40.35085435317981,0,6,,,,,,,,,0.99696
B,404,17,4.868343874773207,4.868343874773207,1,6,,,,,,,,,0.99677
B,404,18,-3.6294904568380995,-3.6294904568380995,0,6,,,,,,,,,0.99658
B,404,19,-6.665894371475578,-6.665894371475578,0,6,,,,,,,,,0.99639
B,404,20,-23.774541230995293,-23.774541230995293,0,6,,,,,,,,,0.9962
B,404,21,-29.93438603750831,-29.93438603750831,0,6,,,,,,,,,0.99601
B,404,22,-2.2825915624698734,-2.2825915624698734,0,6,,,,,,,,,0.99582
B,404,23,7.819003423948065,7.819003423948065,1,6,,,,,,,,,0.99563
B,404,24,-23.306332163414424,-23.306332163414424,0,6,,,,,,,,,0.99544
B,404,25,-27.702299552989082,-27.702299552989082,0,6,,,,,,,,,0.99525
B,404,26,41.482602877774724,41.482602877774724,1,6,,,,,,,,,0.9950600000000001
B,404,27,3.4945611029415558,3.4945611029415558,1,6,,,,,,,,,0.99487
B,404,28,-25.16287230122518,-25.16287230122518,0,6,,,,,,,,,0.99468
B,404,29,45.33723956732219,45.33723956732219,1,6,,,,,,,,,0.99449
B,404,30,13.377464939989988,13.377464939989988,1,6,,,,,,,,,0.9943
B,404,31,-59.30210402838742,-59.30210402838742,0,6,,,,,,,,,0.99411
B,404,32,17.500186422918734,17.500186422918734,1,6,,,,,,,,,0.99392
B,404,33,3.5750519701114456,3.5750519701114456,1,6,,,,,,,,,0.99373
B,404,34,2.65887726490557,2.65887726490557,1,6,,,,,,,,,0.99354
B,404,35,-28.959987537096858,-28.959987537096858,0,6,,,,,,,,,0.99335
B,404,36,-6.4466186319729255,-6.4466186319729255,0,6,,,,,,,,,0.99316
B,404,37,43.784585504259034,43.784585504259034,1,6,,,,,,,,,0.99297
B,404,38,-0.7304469887163312,-0.7304469887163312,0,6,,,,,,,,,0.99278
B,404,39,-3.597436143405978,-3.597436143405978,0,6,,,,,,,,,0.99259
B,404,40,11.672423785172729,11.672423785172729,1,6,,,,,,,,,0.9924
B,404,41,41.062878270707934,41.062878270707934,1,6,,,,,,,,,0.99221
B,404,42,-8.085829238397821,-8.085829238397821,0,6,,,,,,,,,0.99202
B,404,43,-43.400014969052094,-43.400014969052094,0,6,,,,,,,,,0.99183
B,404,44,-20.377046200336984,-20.377046200336984,0,6,,,,,,,,,0.99164
B,404,45,-20.99687855830932,-20.99687855830932,0,6,,,,,,,,,0.99145
B,404,46,9.195183243985703,9.195183243985703,1,6,,,,,,,,,0.99126
B,404,47,-12.64167568398135,-12.64167568398135,0,6,,,,,,,,,0.99107
B,404,48,4.082547147881356,4.082547147881356,1,6,,,,,,,,,0.99088
B,404,49,-6.069868455797859,-6.069868455797859,0,6,,,,,,,,,0.99069
B,404,50,-19.717345093417777,-19.717345093417777,0,6,,,,,,,,,0.9905
B,404,51,42.908782594557366,42.908782594557366,1,6,,,,,,,,,0.99031
B,404,52,-27.121681154388256,-27.121681154388256,0,6,,,,,,,,,0.99012
B,404,53,-1.0400030386008003,-1.0400030386008003,0,6,,,,,,,,,0.98993
B,404,54,2.531973280721054,2.531973280721054,1,6,,,,,,,,,0.98974
B,404,55,-32.44753615697604,-32.44753615697604,0,6,,,,,,,,,0.98955
B,404,56,-7.24480125878456,-7.24480125878456,0,6,,,,,,,,,0.98936
B,404,57,1.4424084114532079,1.4424084114532079,1,6,,,,,,,,,0.98917
B,404,58,3.841874713145492,3.841874713145492,1,6,,,,,,,,,0.98898
B,404,59,-6.999002767501168,-6.999002767501168,0,6,,,,,,,,,0.98879
B,404,60,-63.124238490283815,-63.124238490283815,0,6,,,,,,,,,0.9886
B,404,61,-42.70407854523133,-42.70407854523133,0,6,,,,,,,,,0.98841
B,404,62,-4.1882723772981905,-4.1882723772981905,0,6,,,,,,,,,0.98822
B,404,63,-12.037274409393103,-12.037274409393103,0,6,,,,,,,,,0.98803
B,404,64,26.482175974101036,26.482175974101036,1,6,,,,,,,,,0.98784
B,404,65,-36.04105336519336,-36.04105336519336,0,6,,,,,,,,,0.98765
B,404,66,-23.229361274472517,-23.229361274472517,0,6,,,,,,,,,0.98746
B,404,67,-11.81046635871596,-11.81046635871596,0,6,,,,,,,,,0.98727
B,404,68,-8.999875561293877,-8.999875561293877,0,6,,,,,,,,,0.98708
B,404,69,-31.68742700056562,-31.68742700056562,0,6,,,,,,,,,0.98689
B,404,70,4.16683688186229,4.16683688186229,1,6,,,,,,,,,0.9867
B,404,71,-2.5133324399375008,-2.5133324399375008,0,6,,,,,,,,,0.98651
B,404,72,-5.287745902378806,-5.287745902378806,0,6,,,,,,,,,0.98632
B,404,73,-3.943429706027585,-3.943429706027585,0,6,,,,,,,,,0.98613
B,404,74,0.46000840404390164,0.46000840404390164,1,6,,,,,,,,,0.98594
B,404,75,-22.893593365263875,-22.893593365263875,0,6,,,,,,,,,0.98575
B,404,76,-15.753919380441317,-15.753919380441317,0,6,,,,,,,,,0.98556
B,404,77,1.903832801152399,1.903832801152399,1,6,,,,,,,,,0.98537
B,404,78,3.25501269885588,3.25501269885588,1,6,,,,,,,,,0.9851800000000001
B,404,79,7.564739864873862,7.564739864873862,1,6,,,,,,,,,0.98499
B,404,80,42.28645961314561,42.28645961314561,1,6,,,,,,,,,0.9848
B,404,81,-10.464738464620496,-10.464738464620496,0,6,,,,,,,,,0.98461
B,404,82,-40.47325275949807,-40.47325275949807,0,6,,,,,,,,,0.98442
B,404,83,-4.07416312805867,-4.07416312805867,0,6,,,,,,,,,0.98423
B,404,84,-10.355102351716091,-10.355102351716091,0,6,,,,,,,,,0.98404
B,404,85,15.627585546836837,15.627585546836837,1,6,,,,,,,,,0.98385
B,404,86,-43.71892857890887,-43.71892857890887,0,6,,,,,,,,,0.98366
B,404,87,-19.456670548945933,-19.456670548945933,0,6,,,,,,,,,0.98347
B,404,88,-36.75390164664414,-36.75390164664414,0,6,,,,,,,,,0.98328
B,404,89,-8.102871739777449,-8.102871739777449,0,6,,,,,,,,,0.98309
B,404,90,7.444645339981175,7.444645339981175,1,6,,,,,,,,,0.9829
B,404,91,2.2190508224636396,2.2190508224636396,1,6,,,,,,,,,0.98271
B,404,92,2.9431841018249365,2.9431841018249365,1,6,,,,,,,,,0.98252
B,404,93,-5.288918212840617,-5.288918212840617,0,6,,,,,,,,,0.98233
B,404,94,7.278011842082842,7.278011842082842,1,6,,,,,,,,,0.98214
B,404,95,-15.22882049778119,-15.22882049778119,0,6,,,,,,,,,0.98195
B,404,96,-7.4413210288222045,-7.4413210288222045,0,6,,,,,,,,,0.98176
B,404,97,-19.503280947405635,-19.503280947405635,0,6,,,,,,,,,0.98157
B,404,98,-12.175611821205939,-12.175611821205939,0,6,,,,,,,,,0.98138
B,404,99,-9.71113149384104,-9.71113149384104,0,6,,,,,,,,,0.98119
B,404,100,40.41781498234866,40.41781498234866,1,6,,,,,,,,,0.981
B,404,101,-33.47975750089978,-33.47975750089978,0,6,,,,,,,,,0.98081
B,404,102,45.79370513839576,45.79370513839576,1,6,,,,,,,,,0.98062
B,404,103,-3.600559979498329,-3.600559979498329,0,6,,,,,,,,,0.98043
B,404,104,-3.019412543502898,-3.019412543502898,0,6,,,,,,,,,0.98024
B,404,105,-74.72825005855012,-74.72825005855012,0,6,,,,,,,,,0.98005
B,404,106,41.4795257977532,41.4795257977532,1,6,,,,,,,,,0.97986
B,404,107,25.05069456639582,25.05069456639582,1,6,,,,,,,,,0.97967
B,404,108,-48.23312386343353,-48.23312386343353,0,6,,,,,,,,,0.97948
B,404,109,-8.129510424574494,-8.129510424574494,0,6,,,,,,,,,0.97929
B,404,110,-11.228691836898847,-11.228691836898847,0,6,,,,,,,,,0.9791
B,404,111,-2.365248449022607,-2.365248449022607,0,6,,,,,,,,,0.97891
B,404,112,-29.574521085906916,-29.574521085906916,0,6,,,,,,,,,0.97872
B,404,113,35.94784259602994,35.94784259602994,1,6,,,,,,,,,0.97853
B,404,114,-17.937489156494713,-17.937489156494713,0,6,,,,,,,,,0.97834
B,404,115,-49.61613115669453,-49.61613115669453,0,6,,,,,,,,,0.97815
B,404,116,-42.73037033336266,-42.73037033336266,0,6,,,,,,,,,0.97796
B,404,117,-4.096587982546232,-4.096587982546232,0,6,,,,,,,,,0.97777
B,404,118,-41.81852294590356,-41.81852294590356,0,6,,,,,,,,,0.97758
B,404,119,-26.420408063994035,-26.420408063994035,0,6,,,,,,,,,0.97739
B,404,120,-3.113606959722441,-3.113606959722441,0,6,,,,,,,,,0.9772
B,404,121,12.988439588019897,12.988439588019897,1,6,,,,,,,,,0.97701
B,404,122,45.700827837470904,45.700827837470904,1,6,,,,,,,,,0.97682
B,404,123,-4.61039782027574,-4.61039782027574,0,6,,,,,,,,,0.97663
B,404,124,-7.796940284339497,-7.796940284339497,0,6,,,,,,,,,0.97644
B,404,125,-48.14323570114141,-48.14323570114141,0,6,,,,,,,,,0.97625
B,404,126,-4.986398368988422,-4.986398368988422,0,6,,,,,,,,,0.97606
B,404,127,-6.482429560842677,-6.482429560842677,0,6,,,,,,,,,0.97587
B,404,128,-8.968605305447479,-8.968605305447479,0,6,,,,,,,,,0.97568
B,404,129,-28.290302951726545,-28.290302951726545,0,6,,,,,,,,,0.97549
B,404,130,-4.454623526475862,-4.454623526475862,0,6,,,,,,,,,0.9753000000000001
B,404,131,4.212313952799396,4.212313952799396,1,6,,,,,,,,,0.97511
B,404,132,-0.4868578361138418,-0.4868578361138418,0,6,,,,,,,,,0.97492
B,404,133,-5.14146897965799,-5.14146897965799,0,6,,,,,,,,,0.97473
B,404,134,-3.994698956674692,-3.994698956674692,0,6,,,,,,,,,0.97454
B,404,135,-24.032580690517875,-24.032580690517875,0,6,,,,,,,,,0.97435
B,404,136,3.703933022144595,3.703933022144595,1,6,,,,,,,,,0.97416
B,404,137,-5.592115589714673,-5.592115589714673,0,6,,,,,,,,,0.97397
B,404,138,4.237677395762354,4.237677395762354,1,6,,,,,,,,,0.97378
B,404,139,37.316691475272236,37.316691475272236,1,6,,,,,,,,,0.97359
B,404,140,-26.521340012596117,-26.521340012596117,0,6,,,,,,,,,0.9734
B,404,141,47.144817913899466,47.144817913899466,1,6,,,,,,,,,0.97321
B,404,142,2.6667507297020667,2.6667507297020667,1,6,,,,,,,,,0.97302
B,404,143,-9.264238761717895,-9.264238761717895,0,6,,,,,,,,,0.97283
B,404,144,-7.794198383654092,-7.794198383654092,0,6,,,,,,,,,0.97264
B,404,145,-0.5076164122619677,-0.5076164122619677,0,6,,,,,,,,,0.97245
B,404,146,-23.41672384755394,-23.41672384755394,0,6,,,,,,,,,0.97226
