step,episode,ep_return,loss,epsilon,eval_mean,eval_std
88000,8799,4.5360,0.16406749188899994,0.5820,,
89000,8899,-3.4189,0.0006232454907149076,0.5773,,
90000,8999,5.7299,0.01635316200554371,0.5725,7.849745877536913,7.053484813359373
91000,9099,0.9829,0.1179174855351448,0.5678,,
92000,9199,-16.6130,0.5562262535095215,0.5630,,
93000,9299,-9.1701,0.387582927942276,0.5583,,
94000,9399,-19.7829,1.4890297651290894,0.5535,,
95000,9499,-13.8014,0.4618360698223114,0.5488,,
96000,9599,-9.7080,0.9767245054244995,0.5440,,
97000,9699,0.9747,0.20334628224372864,0.5393,,
98000,9799,3.6963,0.1271388679742813,0.5345,,
99000,9899,5.7751,1.2364225387573242,0.5298,,
100000,9999,12.7563,0.06503918021917343,0.5250,7.1142916865155446,8.789395715778825
101000,10099,-20.6010,12.379510879516602,0.5203,,
102000,10199,-8.4947,0.42472270131111145,0.5155,,
103000,10299,0.5678,0.0376744419336319,0.5108,,
104000,10399,9.3992,0.09394161403179169,0.5060,,
105000,10499,0.7748,0.05240646004676819,0.5013,,
106000,10599,-8.2509,3.8660502433776855,0.4965,,
107000,10699,0.3892,7.566827116534114e-05,0.4918,,
108000,10799,2.1044,0.045965466648340225,0.4870,,
109000,10899,-9.9480,0.029205219820141792,0.4823,,
110000,10999,-28.3264,0.9151139259338379,0.4775,6.179757839646052,9.486987969588013
111000,11099,15.2506,0.07066033035516739,0.4728,,
112000,11199,-0.7058,1.438727855682373,0.4680,,
113000,11299,-5.9807,0.10057512670755386,0.4633,,
114000,11399,-1.0407,0.3391976058483124,0.4585,,
115000,11499,-6.6837,4.88634729385376,0.4538,,
116000,11599,7.7312,0.0045456662774086,0.4490,,
117000,11699,-9.0832,0.0022442424669861794,0.4443,,
118000,11799,7.8758,1.2541863918304443,0.4395,,
119000,11899,5.9182,0.7427092790603638,0.4348,,
120000,11999,-2.1176,0.001363507122732699,0.4300,12.47979977525484,7.792506382369526
121000,12099,-15.7457,0.2623286545276642,0.4253,,
122000,12199,-3.3919,0.07511796802282333,0.4205,,
123000,12299,-0.9918,0.18644388020038605,0.4158,,
124000,12399,-1.5504,0.1795002967119217,0.4110,,
125000,12499,-12.3281,0.17449404299259186,0.4063,,
126000,12599,-0.5542,0.9539656639099121,0.4015,,
127000,12699,-2.2722,0.06460223346948624,0.3968,,
128000,12799,4.1339,0.2590973675251007,0.3920,,
129000,12899,4.1582,0.02864943817257881,0.3873,,
130000,12999,-7.4540,0.039725661277770996,0.3825,7.526008678301343,8.57297434721154
131000,13099,3.4883,0.09048304706811905,0.3778,,
132000,13199,-9.0154,0.37381890416145325,0.3730,,
133000,13299,-1.1808,1.691375732421875,0.3683,,
134000,13399,0.1222,0.11989697068929672,0.3635,,
135000,13499,1.6130,0.016204003244638443,0.3588,,
136000,13599,-15.2292,1.260711669921875,0.3540,,
137000,13699,7.3151,0.12801095843315125,0.3493,,
138000,13799,-11.7801,0.4587574303150177,0.3445,,
139000,13899,18.6248,0.07190797477960587,0.3398,,
140000,13999,9.2022,0.020356085151433945,0.3350,9.228157093388313,6.73901116423392
141000,14099,2.4735,0.0005689378594979644,0.3303,,
142000,14199,-4.8078,0.00582567835226655,0.3255,,
143000,14299,5.8557,1.2281453609466553,0.3208,,
144000,14399,-10.6138,0.0055181109346449375,0.3160,,
145000,14499,13.4241,0.09947149455547333,0.3113,,
146000,14599,3.9175,0.12503379583358765,0.3065,,
147000,14699,10.9219,0.3448587954044342,0.3018,,
148000,14799,16.3067,0.011773069389164448,0.2970,,
149000,14899,5.7909,0.02997925877571106,0.2923,,
