run_id,seeds,eval_mean_survival_rate,eval_survival_between_seed_std,eval_mean_final_energy,eval_final_energy_between_seed_std
A,5,0.46319999999999995,0.008555699854482962,8.694519443061083,0.651724136453555
B,5,0.5076,0.12573305054757875,7.453728894103752,2.056602687580401
C,5,0.6708000000000001,0.01136661779070621,2.6620747234796176,0.3163390700868356
D,5,0.6636,0.013221195104830738,2.612187157271687,0.11172139905704506
