run_id,seed,episode,episodes,mean_objective_return,objective_return_std,survival_rate,mean_final_energy,final_energy_std,mean_survivor_energy,mean_failure_energy
H_EPSILON_HIGH,11,0,100,-7.235114083266681,10.074511393445558,0.35,-7.235114083266681,10.074511393445558,2.272324106440273,-12.354503877724273
H_EPSILON_HIGH,11,250,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,500,100,1.5022055835508314,33.27306805669571,0.5,1.5022055835508314,33.27306805669571,32.82014355670487,-29.81573238960321
H_EPSILON_HIGH,11,750,100,-5.514947677297999,32.15831233054753,0.39,-5.514947677297999,32.15831233054753,30.881014313638477,-28.784497146913118
H_EPSILON_HIGH,11,1000,100,-5.171408869997844,32.475421280674325,0.39,-5.171408869997844,32.475421280674325,31.761883050305542,-28.784497146913118
H_EPSILON_HIGH,11,1250,100,-4.843412034931387,32.97561246250881,0.39,-4.843412034931387,32.97561246250881,32.89153811497976,-28.969035901268025
H_EPSILON_HIGH,11,1500,100,-4.843412034931387,32.97561246250881,0.39,-4.843412034931387,32.97561246250881,32.89153811497976,-28.969035901268025
H_EPSILON_HIGH,11,1750,100,0.6729922677146211,31.827639185802155,0.47,0.6729922677146211,31.827639185802155,31.65876761253357,-26.80495945316256
H_EPSILON_HIGH,11,2000,100,0.6729922677146211,31.827639185802155,0.47,0.6729922677146211,31.827639185802155,31.65876761253357,-26.80495945316256
H_EPSILON_HIGH,11,2250,100,-4.752536385341763,32.96823477322924,0.39,-4.752536385341763,32.96823477322924,32.8359150622442,-28.784497146913118
H_EPSILON_HIGH,11,2500,100,-4.843412034931387,32.97561246250881,0.39,-4.843412034931387,32.97561246250881,32.89153811497976,-28.969035901268025
H_EPSILON_HIGH,11,2750,100,-5.062376611945391,32.7221813742639,0.39,-5.062376611945391,32.7221813742639,32.36862871189521,-28.993675097679546
H_EPSILON_HIGH,11,3000,100,-5.514947677297999,32.15831233054753,0.39,-5.514947677297999,32.15831233054753,30.881014313638477,-28.784497146913118
H_EPSILON_HIGH,11,3250,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,3500,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,3750,100,-3.6558867980557226,32.778808914471526,0.4,-3.6558867980557226,32.778808914471526,33.499654917236136,-28.42624794158363
H_EPSILON_HIGH,11,4000,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,4250,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,4500,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,4750,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
H_EPSILON_HIGH,11,5000,100,6.6224513075912474,32.69328470813187,0.42,6.6224513075912474,32.69328470813187,42.99204199824392,-19.71414884770896
